,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Ashe County, North Carolina: Summary level: 050, state:37> county:009",12512,471,12983,3.6,17190,11437,3340,4215.0,13207,13656,6634,40962,48.3
"Lenoir County, North Carolina: Summary level: 050, state:37> county:107",22856,2939,25795,11.4,30810,26792,6957,13242.0,27219,29537,11084,39402,42.7
"Onslow County, North Carolina: Summary level: 050, state:37> county:133",64064,6094,70158,8.7,115796,53002,13333,27489.0,107985,87084,17455,50278,26.4
"Rutherford County, North Carolina: Summary level: 050, state:37> county:161",26817,2095,28912,7.2,38491,30053,7552,12846.0,32365,34234,14083,42608,45.0
"Yadkin County, North Carolina: Summary level: 050, state:37> county:197",16233,745,16978,4.4,23788,14986,4040,6148.0,18625,18977,7343,44682,44.4
"Burke County, North Carolina: Summary level: 050, state:37> county:023",39033,3126,42159,7.4,53913,36764,10567,17698.0,44804,45164,17703,44557,44.1
"Traill County, North Dakota: Summary level: 050, state:38> county:097",4059,125,4184,3.0,6334,2260,422,961.0,4085,3923,1550,64453,41.2
"Dickey County, North Dakota: Summary level: 050, state:38> county:021",2632,67,2699,2.5,4160,1223,218,463.0,2473,2465,1008,65492,41.9
"Ward County, North Dakota: Summary level: 050, state:38> county:101",35164,1048,36212,2.9,53718,15108,4090,6728.0,35715,33097,8416,68871,31.6
"Pembina County, North Dakota: Summary level: 050, state:38> county:067",3376,115,3491,3.3,5263,2227,486,806.0,3631,3316,1563,64549,48.1
"Hettinger County, North Dakota: Summary level: 050, state:38> county:041",1141,28,1169,2.4,1829,845,197,304.0,1206,1341,619,60164,46.5
"Cass County, North Dakota: Summary level: 050, state:38> county:017",103886,2866,106752,2.7,145791,39555,10171,16490.0,89658,87317,20551,64482,32.5
"Emmons County, North Dakota: Summary level: 050, state:38> county:029",1535,23,1558,1.5,2672,1204,160,507.0,1684,1626,975,55902,50.9
"Richland County, North Dakota: Summary level: 050, state:38> county:077",8405,284,8689,3.3,13376,4690,550,1872.0,8507,7747,2805,61371,37.3
"Adams County, North Dakota: Summary level: 050, state:38> county:001",1191,12,1203,1.0,1832,561,229,227.0,1106,1205,563,56681,45.6
"Eddy County, North Dakota: Summary level: 050, state:38> county:027",1175,14,1189,1.2,1663,880,130,442.0,1110,1191,573,54868,45.8
"Mercer County, North Dakota: Summary level: 050, state:38> county:057",4311,68,4379,1.6,6363,1978,1252,980.0,4326,4136,1550,82181,44.0
"Ransom County, North Dakota: Summary level: 050, state:38> county:073",2788,38,2826,1.3,4332,1517,176,788.0,2633,2681,1137,63903,46.6
"Sioux County, North Dakota: Summary level: 050, state:38> county:085",1258,289,1547,18.7,1527,1687,1367,520.0,2180,2193,343,38939,28.2
"Golden Valley County, North Dakota: Summary level: 050, state:38> county:033",979,30,1009,3.0,1336,589,162,272.0,909,936,382,58690,45.0
"Towner County, North Dakota: Summary level: 050, state:38> county:095",1038,35,1073,3.3,1630,716,256,298.0,1205,1019,502,52300,47.6
"Divide County, North Dakota: Summary level: 050, state:38> county:023",1111,14,1125,1.2,1627,805,229,318.0,1111,1224,620,62865,51.1
"Sargent County, North Dakota: Summary level: 050, state:38> county:081",2091,28,2119,1.3,3360,1090,147,519.0,2059,1813,858,63073,45.2
"Meigs County, Ohio: Summary level: 050, state:39> county:105",8935,756,9691,7.8,13801,11360,1562,5415.0,11549,11529,4449,44899,43.6
"Champaign County, Ohio: Summary level: 050, state:39> county:021",18419,968,19387,5.0,28398,14187,1805,6085.0,19360,19485,7031,60112,41.9
"Greene County, Ohio: Summary level: 050, state:39> county:057",78781,4454,83235,5.4,123371,55403,6836,21322.0,81988,84514,27917,68720,38.3
"Lawrence County, Ohio: Summary level: 050, state:39> county:087",24555,1446,26001,5.6,35916,29436,3313,13521.0,29384,30800,11076,45118,41.8
"Morgan County, Ohio: Summary level: 050, state:39> county:115",5792,277,6069,4.6,8125,7335,1111,3192.0,7320,7320,3037,42341,44.5
"Wyandot County, Ohio: Summary level: 050, state:39> county:175",11308,309,11617,2.7,16989,7314,1083,2943.0,10835,11165,4130,55767,42.1
"Erie County, Ohio: Summary level: 050, state:39> county:043",35976,1882,37858,5.0,54461,29911,3480,11145.0,36673,38107,15930,54226,44.8
"Logan County, Ohio: Summary level: 050, state:39> county:091",21676,1019,22695,4.5,32176,16631,2714,6055.0,22395,22921,7953,56754,41.4
"Summit County, Ohio: Summary level: 050, state:39> county:153",267727,15253,282980,5.4,372899,199892,30446,70133.0,262595,278739,94602,57181,41.0
"Lemhi County, Idaho: Summary level: 050, state:16> county:059",3194,150,3344,4.5,4626,3794,912,1422.0,3987,3860,2297,39324,52.1
"Payette County, Idaho: Summary level: 050, state:16> county:075",9876,569,10445,5.4,15068,9068,2899,3938.0,11544,11716,4160,50579,40.4
"Benewah County, Idaho: Summary level: 050, state:16> county:009",3482,304,3786,8.0,5663,3981,1034,2000.0,4620,4518,2028,47556,46.2
"Bonner County, Idaho: Summary level: 050, state:16> county:017",18299,647,18946,3.4,27765,18541,4453,7139.0,21751,21860,10361,50256,47.9
"Clark County, Idaho: Summary level: 050, state:16> county:033",409,14,423,3.3,367,348,278,54.0,480,433,135,46154,33.2
"Custer County, Idaho: Summary level: 050, state:16> county:037",1482,56,1538,3.6,2575,2197,380,1076.0,2147,2022,1368,40875,53.0
"Elmore County, Idaho: Summary level: 050, state:16> county:039",9539,728,10267,7.1,15964,8726,3304,3405.0,14059,12684,3480,46855,32.3
"Fremont County, Idaho: Summary level: 050, state:16> county:043",5356,321,5677,5.7,7943,4789,1497,1824.0,6752,6268,2214,58065,37.6
"Madison County, Idaho: Summary level: 050, state:16> county:065",18393,1321,19714,6.7,29705,9726,2311,3283.0,19881,19219,2590,39160,23.5
"Shoshone County, Idaho: Summary level: 050, state:16> county:079",5025,445,5470,8.1,6833,5699,1856,3358.0,6298,6311,2816,39386,47.3
"Idaho County, Idaho: Summary level: 050, state:16> county:049",6214,349,6563,5.3,9849,7194,1723,3678.0,8629,7782,4407,41516,50.2
"Teton County, Idaho: Summary level: 050, state:16> county:081",5930,351,6281,5.6,9098,2577,774,680.0,5972,5454,1244,74216,37.2
